Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,984;984,0;23;0,0;28,011;1,0
instancia_10;2;1,0;1000,0;24;0,0;0,696;1,0
instancia_2;2;1,0;1000,0;43;0,0;1,735;1,0
instancia_3;2;0,992;992,0;25;0,0;24,029;101,0
instancia_4;2;1,0;1000,0;73;0,0;0,156;1,0
instancia_5;2;1,0;1000,0;8;0,0;2,637;1,0
instancia_6;2;1,0;1000,0;24;0,0;2,647;1,0
instancia_7;2;0,992;992,0;33;0,0;33,881;776,0
instancia_8;2;0,986;986,0;18;0,0;1,495;224,0
instancia_9;2;1,0;1000,0;28;0,0;0,702;1,0
