Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,996;996,0;71;0,0;1188,418;6556,0
instancia_10;2;1,0;1000,0;264;0,0;1,014;1,0
instancia_2;9;0,96;960,0;113;0,625;3600,028;419674,0
instancia_3;2;0,996;996,0;114;0,0;7,394;1,0
instancia_4;2;1,0;1000,0;191;0,0;4,36;1,0
instancia_5;2;0,952;952,0;66;0,0;0,239;1,0
instancia_6;2;0,996;996,0;142;0,0;8,778;1,0
instancia_7;2;1,0;1000,0;382;0,0;1,295;1,0
instancia_8;2;0,96;960,0;55;0,0;0,231;1,0
instancia_9;2;1,0;1000,0;128;0,0;1,693;1,0
