Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,768074;20738,0;7;0,0;1,104;1,0
instancia_10;2;0,854444;23070,0;9;0,0;10,987;39,0
instancia_2;2;0,893148;24115,0;11;0,0;6,413;73,0
instancia_3;2;0,818148;22090,0;10;0,0;1,908;16,0
instancia_4;2;0,826593;22318,0;8;0,0;1,734;92,0
instancia_5;2;0,935556;25260,0;11;0,0;0,103;1,0
instancia_6;2;0,70063;18917,0;8;0,0;1,485;85,0
instancia_7;2;0,864889;23352,0;15;0,0;39,012;1533,0
instancia_8;2;0,84563;22832,0;12;0,0;1,3;62,0
instancia_9;2;0,797704;21538,0;8;0,0;0,492;1,0
