5 30 30 30
175 7 5 5 113 0 0
150 5 3 10 30 17 0
360 3 10 12 15 23 0
637 13 7 7 16 20 0
96 6 4 4 76 7 0
3
1 0 30 30 1 12 0
1 30 0 30 1 0 15
1 30 0 30 1 15 15

5 30 30 30
2156 11 14 14 1 41 0
336 7 8 6 7 9 0
672 4 12 14 26 7 0
588 6 7 14 25 26 0
429 13 11 3 7 2 0
3
1 0 30 30 1 12 0
1 30 0 30 1 0 15
1 30 0 30 1 15 15

5 30 30 30
120 5 4 6 141 0 0
1680 14 10 12 6 19 0
1452 11 11 12 3 20 0
588 14 3 14 24 40 0
1848 12 11 14 1 14 0
3
1 0 30 30 1 12 0
1 30 0 30 1 0 15
1 30 0 30 1 15 15

5 30 30 30
429 3 13 11 2 5 0
585 5 9 13 23 14 0
462 14 3 11 32 9 0
400 5 8 10 14 7 0
1144 8 13 11 10 31 0
3
1 0 30 30 1 12 0
1 30 0 30 1 0 15
1 30 0 30 1 15 15

5 30 30 30
72 8 3 3 180 1 0
1092 6 13 14 9 20 0
208 4 4 13 53 1 0
1053 9 9 13 2 30 0
1568 8 14 14 7 25 0
3
1 0 30 30 1 12 0
1 30 0 30 1 0 15
1 30 0 30 1 15 15

5 30 30 30
315 7 5 9 5 18 0
280 4 14 5 14 9 0
585 13 5 9 2 22 0
210 14 5 3 70 8 0
1386 14 11 9 8 25 0
3
1 0 30 30 1 12 0
1 30 0 30 1 0 15
1 30 0 30 1 15 15

5 30 30 30
1456 14 13 8 9 12 0
297 9 3 11 59 26 0
910 14 13 5 21 8 0
429 11 13 3 1 3 0
450 5 10 9 12 22 0
3
1 0 30 30 1 12 0
1 30 0 30 1 0 15
1 30 0 30 1 15 15

5 30 30 30
405 5 9 9 16 21 0
175 5 5 7 121 9 0
576 12 8 6 3 17 0
1872 12 12 13 8 29 0
150 3 5 10 135 24 0
3
1 0 30 30 1 12 0
1 30 0 30 1 0 15
1 30 0 30 1 15 15

5 30 30 30
880 8 11 10 16 9 0
156 3 4 13 21 10 0
630 7 9 10 18 14 0
150 5 6 5 17 12 0
1573 11 11 13 7 8 0
3
1 0 30 30 1 12 0
1 30 0 30 1 0 15
1 30 0 30 1 15 15

5 30 30 30
756 7 12 9 12 10 0
352 4 8 11 2 25 0
1078 11 7 14 16 21 0
1053 9 9 13 9 2 0
1540 14 11 10 5 1 0
3
1 0 30 30 1 12 0
1 30 0 30 1 0 15
1 30 0 30 1 15 15
