5 20 20 20
240 8 6 5 10 6 0
60 4 3 5 71 14 0
150 5 5 6 46 2 0
24 2 3 4 88 11 0
16 2 4 2 79 1 0
3
1 0 20 20 1 10 0
1 20 0 20 1 0 10
1 20 0 20 1 10 10

5 20 20 20
36 9 2 2 185 1 0
48 6 2 4 144 8 0
75 3 5 5 35 6 0
168 3 8 7 18 19 0
90 5 9 2 39 4 0
3
1 0 20 20 1 10 0
1 20 0 20 1 0 10
1 20 0 20 1 10 10

5 20 20 20
84 7 3 4 35 7 0
90 5 2 9 2 13 0
180 6 6 5 12 9 0
192 6 8 4 18 10 0
280 7 5 8 13 0 0
3
1 0 20 20 1 10 0
1 20 0 20 1 0 10
1 20 0 20 1 10 10

5 20 20 20
162 9 9 2 11 1 0
360 5 9 8 10 11 0
72 3 6 4 77 2 0
360 9 8 5 13 13 0
288 9 8 4 12 9 0
3
1 0 20 20 1 10 0
1 20 0 20 1 0 10
1 20 0 20 1 10 10

5 20 20 20
18 3 3 2 20 4 0
224 8 7 4 3 1 0
144 6 8 3 36 1 0
70 5 7 2 79 4 0
384 6 8 8 3 22 0
3
1 0 20 20 1 10 0
1 20 0 20 1 0 10
1 20 0 20 1 10 10

5 20 20 20
32 4 4 2 97 2 0
84 7 4 3 32 7 0
196 4 7 7 2 3 0
64 2 8 4 58 7 0
168 7 6 4 4 1 0
3
1 0 20 20 1 10 0
1 20 0 20 1 0 10
1 20 0 20 1 10 10

5 20 20 20
315 7 9 5 7 0 0
320 8 5 8 11 10 0
432 6 8 9 5 22 0
36 2 6 3 135 0 0
64 8 2 4 51 1 0
3
1 0 20 20 1 10 0
1 20 0 20 1 0 10
1 20 0 20 1 10 10

5 20 20 20
196 7 4 7 1 8 0
72 3 3 8 52 23 0
16 2 2 4 449 0 0
72 6 2 6 57 14 0
180 5 4 9 12 17 0
3
1 0 20 20 1 10 0
1 20 0 20 1 0 10
1 20 0 20 1 10 10

5 20 20 20
147 7 3 7 3 6 0
180 9 4 5 8 9 0
75 5 3 5 40 0 0
108 9 2 6 41 4 0
216 6 6 6 14 9 0
3
1 0 20 20 1 10 0
1 20 0 20 1 0 10
1 20 0 20 1 10 10

5 20 20 20
144 8 6 3 11 5 0
180 9 5 4 27 6 0
120 5 8 3 40 3 0
140 4 7 5 13 12 0
210 5 7 6 11 14 0
3
1 0 20 20 1 10 0
1 20 0 20 1 0 10
1 20 0 20 1 10 10
