Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,9990000497308029;7992,0;191;0,00344681289003394;19,1010000705719;18371,0
instancia_2;2;0,8999999999999999;7200,0;116;0,0;0,8209998607635498;1,0
instancia_3;2;0,6800000000000002;5440,0;33;0,0;0,7949998378753662;1,0
instancia_4;2;0,8347500000000001;6678,0;25;0,0;0,1099998950958252;1,0
instancia_5;2;0,7380000000000003;5904,0;97;0,0;0,9090001583099365;1,0
instancia_6;2;0,8200000000000004;6560,0;142;0,0;0,44099998474121094;1,0
instancia_7;2;0,9120000000592177;7296,0;88;1,1781657520161775;7,644000053405762;1,0
instancia_8;2;1,0000000000000002;8000,0;311;0,0;10,035000085830688;1,0
instancia_9;2;0,893625;7149,0;72;4,280474950260909;4,815999984741211;69944,0
instancia_10;2;0,855;6840,0;46;0,0;0,8299999237060547;8372,0
