Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;9;0,9720000000000002;7776,0;164;0,05144032921692485;300,1100001335144;46947,0
instancia_2;2;0,9750000000000001;7800,0;108;0,0;1,5720000267028809;1,0
instancia_3;2;0,838;6704,0;39;0,0;1,0160000324249268;1,0
instancia_4;2;0,7627499999999998;6102,0;41;0,0;0,3080000877380371;1,0
instancia_5;2;0,76725;6138,0;55;0,008361464077539234;1,9470000267028809;1,0
instancia_6;2;0,8200000000000003;6560,0;144;0,0;0,937999963760376;1,0
instancia_7;2;0,9360000000000002;7488,0;106;0,0;5,996999979019165;1,0
instancia_8;2;1,0000000000000002;8000,0;318;0,0;17,68500018119812;1,0
instancia_9;2;0,746625;5973,0;43;0,0;1,2939999103546143;1257,0
instancia_10;2;0,7150000000000001;5720,0;35;0,0;0,39499998092651367;1,0
