        20        30        30        30
      4256        16        19        14         1        24
      1638        13        14         9        10         8
      2652        17        12        13         1        31
       960        12        10         8         2         0
      2464         8        14        22         5        10
      2890        10        17        17         3        13
      3060        10        17        18         3        37
      2310        11        15        14         4        18
      4032        12        16        21         1        45
      3696        12        22        14         1        29
      3780        18        15        14         4        34
      2600        20        13        10         2        28
      2002        13        11        14         1         7
      3740        17        11        20         1        57
      3465        11        21        15         3         7
      1976        13         8        19         5        42
      4800        20        20        12         1        12
      1701         9        21         9         5        17
      5148        13        18        22         2        26
      3780        20         9        21         1        38

        20        30        30        30
      5434        19        13        22         2        14
      1134         9        14         9        18        19
      2244        17        11        12         1        32
      4046        17        14        17         1        43
      7040        22        16        20         1        57
      1320        11        10        12        10        33
      4864        19        16        16         1        17
      4290        13        15        22         3        65
      2160        12        12        15         4        20
      3696         8        21        22         2        15
      6358        22        17        17         1        42
      3192        19         8        21         3         3
      2520        14         9        20         2        27
      1980        12        15        11         4        23
      3600        10        18        20         2        16
      2736        19         9        16         2        24
      2080        10        16        13         3        23
      1280         8        10        16         3        29
      2475        15        11        15         7        28
      3042        13        18        13         2        21

        20        30        30        30
      7854        21        22        17         1        43
      3591         9        21        19         2        35
      2160        12        12        15         2        29
      6732        18        17        22         1        56
      1300        13        10        10         3        29
      4004        13        22        14         1        32
      2457        21        13         9         3         3
      3465        11        15        21         4        22
      3900        20        13        15         1         8
      4800        12        20        20         2        17
      4914        13        21        18         2        42
      4200        10        21        20         2        44
      1980         9        10        22         1        60
      4200        20        21        10         3        18
      6732        18        22        17         1        30
      3000        10        15        20         3        34
      1716        12        13        11         4        11
      2560        16        10        16         3        42
      4788        21        12        19         2         9
      1520         8        10        19         3         6

        20        30        30        30
      1755        13         9        15         3        34
      3762        22         9        19         3        55
      3366         9        22        17         2        29
      1820        13        10        14         7        39
      2240        14         8        20         2        42
      5376        21        16        16         1        23
      6783        21        17        19         1        50
      3978        13        18        17         1        21
      1620         9        10        18         9        25
      2835        15        21         9         5        26
      4752        22        18        12         2        29
      4800        20        12        20         2         2
      3520        10        22        16         2        27
      2299        11        19        11         3         0
      1088         8        17         8         5        21
      4180        22        10        19         2         7
      2640         8        15        22         4        13
      3000        20        15        10         6         5
      3536        17        16        13         1        30
      1296         9        18         8         8        19

        20        30        30        30
      4598        11        19        22         2         4
      3872        22        16        11         1        17
      4080        15        17        16         1        11
      3696        16        11        21         2         0
      3168        16        22         9         2        11
      1080        10         9        12        15         1
      5544        18        22        14         1        19
      4620        21        10        22         3        57
      1800        10        18        10         9        11
      6384        16        21        19         1         7
      1496        17        11         8         4         3
      4000        10        20        20         1        47
      3344        19        11        16         1        14
      1836         9        17        12         3        35
      2106         9        13        18         2        46
      4693        13        19        19         1        55
      2145        15        11        13         5        32
      3705        15        13        19         4        13
      1360        17        10         8         9         5
      3276        13        21        12         1         7

        20        30        30        30
      3300        22        15        10         2         7
      4032        21        16        12         2         0
      5610        17        22        15         1        10
      3360        20        21         8         2        10
      6732        17        22        18         1        13
      3072        16        16        12         2        27
      3990        19        21        10         2        11
      1980        18        10        11         4         9
      1456        14        13         8        10        15
      1300        10        13        10        15         5
      4335        15        17        17         1         9
      3960        22        18        10         1        19
      2016        21         8        12         3        32
      3366        17        11        18         2        30
      1248        13        12         8         7         8
      3570        14        17        15         2        41
      3168        18        11        16         1        13
      1296        16         9         9         8        21
      3960        22        12        15         4        16
      3120        16        13        15         3        18

        20        30        30        30
      3528        21         8        21         2        20
      1760         8        11        20         6        44
      4320        18        20        12         2        35
      3458        19        13        14         3         1
      1980         9        20        11         5        31
      3762        11        18        19         2         1
      3822        13        14        21         1        62
      2860        13        20        11         4        26
      1980         9        10        22         4        36
      3456        16        12        18         1         8
      3696        16        11        21         1         2
      2640        15         8        22         4        30
      4500        15        15        20         3        16
      5544        18        22        14         1        12
      5670        21        15        18         1         9
      4590        15        18        17         2        32
      3234        14        11        21         3        43
      3213         9        21        17         1         3
      2400        10        16        15         1        17
      1540        14        10        11         8        22

        20        30        30        30
      5472        18        16        19         1        36
      1320        11         8        15        12         9
      2420        10        11        22         3        25
      7106        19        22        17         1        18
