Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;9;0,489376;489376,0;4;;3610,455;0,0
instancia_10;2;0,871925;871925,0;10;0,0;291,131;264,0
instancia_2;9;0,739908;739908,0;9;;3617,952;0,0
instancia_3;2;0,888186;888186,0;9;0,0;114,381;319,0
instancia_4;2;0,938688;938688,0;11;0,0;701,317;45,0
instancia_5;2;0,825375;825375,0;7;0,0;346,158;236,0
instancia_6;2;0,888975;888975,0;10;0,0;140,663;190,0
instancia_7;2;0,797071;797071,0;7;0,0;243,638;157,0
instancia_8;9;0,901232;901232,0;21;3,449378;3613,534;355,0
instancia_9;2;0,871062;871062,0;10;0,0;773,0;246,0
