Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;9;0,993;7944,0;101;0,704935;12572,196;1,0
instancia_10;9;0,93875;7510,0;82;36406,258322;3600,254;1,0
instancia_2;9;0,736;5888,0;104;35,869565;3600,279;1,0
instancia_3;2;1,0;8000,0;695;0,0;1877,832;2,0
instancia_4;9;0,97275;7782,0;161;2,801336;3600,107;3,0
instancia_5;9;0,987;7896,0;302;1,317123;3600,1;3,0
instancia_6;9;0,808875;6471,0;45;41380,482151;12801,979;1,0
instancia_7;9;0,955125;7641,0;97;4,698338;3601,117;1,0
instancia_8;9;0,92625;7410,0;158;7,962213;12732,39;1,0
instancia_9;9;0,967125;7737,0;206;3,39925;7622,588;1,0
