Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;9;0,9940000000000002;7952,0;195;0,04;300,21299982070923;28,0
instancia_2;9;0,9800000083457879;7840,0;119;0,11;300,05000019073486;3931,0
instancia_3;2;1,0000000000000004;8000,0;586;0,0;60,842000007629395;1,0
instancia_4;2;1,0000000000000002;8000,0;120;0,0;118,54200005531311;1,0
instancia_5;2;1,0000000000000002;8000,0;183;0,0;27,308000087738037;1,0
instancia_6;9;0,9420000584820266;7536,0;50;1,91;300,2170000076294;1599,0
instancia_7;9;0,973750028598028;7790,0;107;0,75;300,23099994659424;1891,0
instancia_8;2;1,0000000000000002;8000,0;174;0,0;10,144000053405762;1,0
instancia_9;9;0,9700000000000004;7760,0;248;2,62;300,0479998588562;1,0
instancia_10;9;0,9410000098934944;7528,0;68;0,37;300,09099984169006;29113,0
