Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,7645;6116,0;9;0,0;0,123;1,0
instancia_10;2;0,9425;7540,0;18;0,0;0,782;1,0
instancia_2;2;0,928;7424,0;16;0,0;10,932;198,0
instancia_3;2;0,943;7544,0;14;0,009083;0,721;1,0
instancia_4;2;0,9025;7220,0;15;0,0;4,369;236,0
instancia_5;2;0,91825;7346,0;16;0,0;22,494;1259,0
instancia_6;2;0,91925;7354,0;12;0,0;7,709;13,0
instancia_7;2;0,8705;6964,0;10;0,0;4,675;108,0
instancia_8;2;0,919;7352,0;24;0,0;1,267;1,0
instancia_9;2;0,887125;7097,0;14;0,0;2,004;25,0
