Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,9960000000000002;996,0;171;0,0;0,20200014114379883;1,0
instancia_2;2;0,9920000000000002;992,0;211;0,0;1,3560001850128174;1,0
instancia_3;2;1,0000000000000004;1000,0;512;0,0;0,5720000267028809;1,0
instancia_4;2;0,9960000000000002;996,0;147;0,0;0,36999988555908203;1,0
instancia_5;2;0,9840000000000003;984,0;159;0,0;51,33400011062622;2541,0
instancia_6;2;1,0000000000000004;1000,0;624;0,0;0,12400007247924805;1,0
instancia_7;2;0,9880000000000001;988,0;118;0,0;0,3510000705718994;1,0
instancia_8;2;1,0000000000000004;1000,0;242;0,0;0,9850001335144043;1,0
instancia_9;2;0,9610000000000004;961,0;165;0,0;0,41900014877319336;1,0
instancia_10;2;0,9000000000000002;900,0;134;0,0;0,0690000057220459;1,0
