         5        20        20        20
       240         8         6         5        10         6
        60         4         3         5        71        14
       150         5         5         6        46         2
        24         2         3         4        88        11
        16         2         4         2        79         1

         5        20        20        20
        36         9         2         2       185         1
        48         6         2         4       144         8
        75         3         5         5        35         6
       168         3         8         7        18        19
        90         5         9         2        39         4

         5        20        20        20
        84         7         3         4        35         7
        90         5         2         9         2        13
       180         6         6         5        12         9
       192         6         8         4        18        10
       280         7         5         8        13         0

         5        20        20        20
       162         9         9         2        11         1
       360         5         9         8        10        11
        72         3         6         4        77         2
       360         9         8         5        13        13
       288         9         8         4        12         9

         5        20        20        20
        18         3         3         2        20         4
       224         8         7         4         3         1
       144         6         8         3        36         1
        70         5         7         2        79         4
       384         6         8         8         3        22

         5        20        20        20
        32         4         4         2        97         2
        84         7         4         3        32         7
       196         4         7         7         2         3
        64         2         8         4        58         7
       168         7         6         4         4         1

         5        20        20        20
       315         7         9         5         7         0
       320         8         5         8        11        10
       432         6         8         9         5        22
        36         2         6         3       135         0
        64         8         2         4        51         1

         5        20        20        20
       196         7         4         7         1         8
        72         3         3         8        52        23
        16         2         2         4       449         0
        72         6         2         6        57        14
       180         5         4         9        12        17

         5        20        20        20
       147         7         3         7         3         6
       180         9         4         5         8         9
        75         5         3         5        40         0
       108         9         2         6        41         4
       216         6         6         6        14         9

         5        20        20        20
       144         8         6         3        11         5
       180         9         5         4        27         6
       120         5         8         3        40         3
       140         4         7         5        13        12
       210         5         7         6        11        14
