Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;1,0;1000,0;165;0,0;12,905;1,0
instancia_10;2;1,0;1000,0;131;0,0;6,087;1,0
instancia_2;2;1,0;1000,0;76;0,0;1,061;1,0
instancia_3;2;1,0;1000,0;240;0,0;3,019;1,0
instancia_4;2;1,0;1000,0;323;0,0;0,919;1,0
instancia_5;2;1,0;1000,0;173;0,0;0,889;1,0
instancia_6;2;1,0;1000,0;67;0,0;6,428;1,0
instancia_7;2;1,0;1000,0;78;0,0;1,127;1,0
instancia_8;2;1,0;1000,0;80;0,0;0,755;1,0
instancia_9;2;1,0;1000,0;102;0,0;0,713;1,0
