Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,04698;46980,0;2;0,0;0,013000011444091797;0,0
instancia_2;2;0,40458600000000006;404586,0;7;0,0;0,06699991226196289;38,0
instancia_3;2;0,24273;242730,0;3;0,0;0,010999917984008789;0,0
instancia_4;2;0,212784;212784,0;4;0,0;0,002000093460083008;0,0
instancia_5;2;0,0;0,0;0;0,0;0,0;0,0
instancia_6;2;0,116014;116014,0;1;0,0;0,0019998550415039062;0,0
instancia_7;2;0,0;0,0;0;0,0;0,0;0,0
instancia_8;2;0,3726;372600,0;6;0,0;0,002000093460083008;0,0
instancia_9;2;0,24213600000000002;242136,0;3;0,0;0,003000020980834961;0,0
instancia_10;2;0,566912;566912,0;8;0,0;0,10500001907348633;1,0
