Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;9;0,874556;23613,0;42;61912,387244;3601,048;1,0
instancia_10;9;0,826963;22328,0;55;80316,445718;3601,302;1,0
instancia_2;9;0,865333;23364,0;113;89644,016436;3600,997;1,0
instancia_3;9;0,883;23841,0;132;13,250283;3604,286;1,0
instancia_4;9;0,847556;22884,0;78;87250,288411;3601,988;1,0
instancia_5;9;0,834852;22541,0;64;72935,20252;3600,566;1,0
instancia_6;9;0,82737;22339,0;51;86941,801334;3601,478;1,0
instancia_7;9;0,872407;23555,0;75;69337,50796;3601,097;1,0
instancia_8;9;0,807407;21800,0;39;57501,614679;3724,403;1,0
instancia_9;9;0,909296;24551,0;80;78895,910553;3606,568;1,0
