Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,788336;98542,0;11;0,0;5,778;48,0
instancia_10;2;0,858512;107314,0;10;0,0;5,764;31,0
instancia_2;2;0,807872;100984,0;12;0,0;7,327;65,0
instancia_3;2;0,851104;106388,0;13;0,0;7,216;68,0
instancia_4;2;0,848208;106026,0;13;0,0;6,921;92,0
instancia_5;2;0,846088;105761,0;12;0,0;135,545;2256,0
instancia_6;2;0,773608;96701,0;10;0,0;10,741;446,0
instancia_7;2;0,871344;108918,0;17;0,0;120,11;934,0
instancia_8;2;0,817808;102226,0;9;0,0;13,661;26,0
instancia_9;2;0,798672;99834,0;9;0,0;0,463;1,0
