        10        20        20        20
       243         9         9         3        22         8
        45         5         3         3        61         0
       224         4         8         7         6        11
        90         5         9         2        58         0
        36         6         2         3       153         6
       378         9         6         7         6         7
        42         3         2         7        45        17
       168         4         7         6        30        16
        24         2         2         6       147         4
       315         7         9         5        15         9

        10        20        20        20
        36         2         2         9        82         6
       336         7         6         8         2         6
       294         7         6         7        10        17
        72         4         3         6         8        10
       336         8         7         6         2         7
       160         8         4         5        21         1
       243         9         9         3        12         3
       240         6         8         5        19         8
       288         9         4         8         4        14
        64         8         2         4        21         3

        10        20        20        20
       192         8         8         3         7         0
       144         6         4         6         8         3
        45         3         5         3        27         6
       486         9         6         9        10         8
        84         7         4         3        53         8
        75         5         5         3        19         8
         8         2         2         2       659         4
       270         9         6         5        11         5
       378         9         6         7         5        11
       144         9         4         4        23        10

        10        20        20        20
        48         2         3         8        35        15
       196         7         7         4         9        10
       224         4         8         7        14        17
        80         4         5         4        50         9
        42         2         7         3        27         5
       135         3         9         5        17        14
        90         3         5         6        15        17
        48         6         4         2       129         4
       140         5         7         4        26         0
        32         2         4         4       107         8

        10        20        20        20
        40         5         4         2       135         3
        48         4         3         4        90         2
       189         3         7         9         1        18
       224         8         4         7        11        17
        16         2         4         2       488         4
       162         3         6         9        29        21
       120         6         5         4        22        11
        84         3         7         4        46         9
        72         6         2         6        84         3
        56         2         7         4        93         6

        10        20        20        20
       120         8         5         3        11         3
       162         9         3         6        21        10
       147         3         7         7         7        16
       108         2         9         6        13        10
       288         9         4         8         7        14
       180         5         6         6        17         2
       108         6         2         9        57         8
       162         9         6         3        11         7
       405         9         9         5         7        10
       120         5         3         8        13         2

        10        20        20        20
       486         6         9         9         4        20
        64         2         4         8        28        23
       192         4         6         8         5        10
       315         5         7         9         7        13
        42         3         7         2       112         5
        72         4         2         9         4        14
       392         7         7         8         6        11
       270         9         6         5        23         0
        50         5         2         5        41         4
       144         6         4         6        30        13

        10        20        20        20
        40         2         5         4        53        11
        50         5         5         2        91         0
        80         5         4         4        81         1
        48         3         2         8        93         4
       392         7         8         7         2        19
       378         6         7         9        11         4
        84         3         7         4        14         8
        40         5         2         4        70         5
       108         6         9         2        40         4
        84         3         4         7        47        19

        10        20        20        20
       576         8         9         8         3         1
        48         4         4         3         3         4
       180         5         4         9         8        16
        84         7         4         3         2         4
       486         9         6         9         1        16
        16         4         2         2       188         1
       168         3         8         7        20         4
       135         5         9         3         8         2
       112         7         8         2        20         0
        24         2         3         4        68         7

        10        20        20        20
        80         5         4         4        77         3
       270         5         9         6        17         7
       189         9         3         7         5         6
        64         2         4         8        48        11
       432         8         9         6         6         3
       192         8         6         4        14         0
       504         8         9         7         1         6
       120         3         5         8         8        22
       288         8         9         4        13         7
        56         7         4         2        94         0
