Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;9;0,9354074074074077;25256,0;165;3,7113431267614434;300,0499999523163;1,0
instancia_2;2;0,7798518725899257;21056,0;34;0,0;131,72100019454956;22795,0
instancia_3;2;0,9484444444444445;25608,0;151;0,0;1,559999942779541;1,0
instancia_4;2;0,7982222222222222;21552,0;44;0,009279881217567301;1,1459999084472656;1,0
instancia_5;2;0,8628888888888889;23298,0;183;0,0;14,233000040054321;1,0
instancia_6;9;0,8649259867254557;23353,0;86;1,8184599462839475;300,07100009918213;23382,0
instancia_7;2;0,8039259259259259;21706,0;31;0,0;31,832000017166138;1614,0
instancia_8;2;0,99000001862803;26730,0;162;0,0;21,54099988937378;1,0
instancia_9;2;0,8868888888888888;23946,0;62;0,0;2,9819998741149902;1,0
instancia_10;2;0,694962962962963;18764,0;19;0,0;8,087000131607056;134,0
