Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,776;776,0;10;0,0;0,177;1,0
instancia_10;2;0,85;850,0;16;0,0;1,871;231,0
instancia_2;2;1,0;1000,0;39;0,0;0,65;1,0
instancia_3;2;0,95;950,0;19;0,0;0,116;1,0
instancia_4;2;0,916;916,0;12;0,0;0,192;1,0
instancia_5;2;0,918;918,0;27;0,0;1,643;158,0
instancia_6;2;1,0;1000,0;36;0,0;0,497;1,0
instancia_7;2;0,992;992,0;37;0,0;4,129;38,0
instancia_8;2;0,772;772,0;11;0,0;0,73;104,0
instancia_9;2;0,96;960,0;30;0,0;0,091;1,0
