Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,8640000000000001;864,0;66;0,0;0,4119999408721924;1,0
instancia_2;2;0,7799999999999999;780,0;86;0,0;0,05500006675720215;1,0
instancia_3;2;0,9920000000000003;992,0;141;0,0;0,5940001010894775;1,0
instancia_4;2;1,0000000000000004;1000,0;206;0,0;0,3989999294281006;1,0
instancia_5;2;0,8;800,0;47;0,0;0,018000125885009766;1,0
instancia_6;2;0,9910000000000003;991,0;110;0,0;0,19499993324279785;1,0
instancia_7;2;1,0000000000000002;1000,0;198;0,0;0,12999987602233887;1,0
instancia_8;2;0,784;784,0;33;0,0;0,02500009536743164;1,0
instancia_9;2;1,0000000000000004;1000,0;141;0,0;0,14699983596801758;1,0
instancia_10;2;1,0000000000000004;1000,0;492;0,0;0,11599993705749512;1,0
