Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s)
instancia_1;9;0,994;7952,0;210;0,038692;3600,096
instancia_2;2;0,98;7840,0;106;0,0;42,928
instancia_3;2;1,0;8000,0;535;0,0;97,156
instancia_4;2;1,0;8000,0;119;0,0;139,307
instancia_5;2;1,0;8000,0;186;0,0;37,819
instancia_6;2;0,942;7536,0;50;0,0;797,466
instancia_7;2;0,97375;7790,0;107;0,0;463,279
instancia_8;2;1,0;8000,0;165;0,0;9,389
instancia_9;9;0,9815;7852,0;272;1,278154;3600,161
instancia_10;2;0,941;7528,0;68;0,0;183,972
