Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;9;0,92263;24911,0;142;31176,652884;12508,228;1,0
instancia_10;2;0,901037;24328,0;23;0,0;180,335;521,0
instancia_2;9;0,890407;24041,0;42;1,942309;3600,044;10342,0
instancia_3;2;0,973778;26292,0;139;0,002875;1938,995;23589,0
instancia_4;2;0,841852;22730,0;42;0,008506;3507,039;133617,0
instancia_5;9;0,880593;23776,0;198;11,390838;3600,116;1,0
instancia_6;9;0,927148;25033,0;92;2,080453;3600,097;1056,0
instancia_7;9;0,892815;24106,0;36;1,581902;11742,877;281,0
instancia_8;9;0,901111;24330,0;118;17253,423757;11732,635;1,0
instancia_9;9;0,955037;25786,0;63;1,861475;3914,752;11,0
