Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,872256;872256,0;30;0,0;18,062;1,0
instancia_10;2;0,910884;910884,0;18;0,0;3,263;1,0
instancia_2;2;0,874048;874048,0;17;0,0;851,269;1945,0
instancia_3;2;0,791108;791108,0;10;0,0;19,057;25,0
instancia_4;2;0,765816;765816,0;8;0,0;0,642;1,0
instancia_5;2;0,88453;884530,0;13;0,0;3,778;44,0
instancia_6;2;0,938884;938884,0;14;0,0;2,959;1,0
instancia_7;2;0,818058;818058,0;8;0,0;1,767;1,0
instancia_8;2;0,840964;840964,0;10;0,0;2,006;1,0
instancia_9;2;0,657048;657048,0;8;0,0;1,316;122,0
