Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,26;260,0;6;0,0;0,003999948501586914;1,0
instancia_2;2;0,9400000000000001;940,0;32;0,0;0,013000011444091797;1,0
instancia_3;2;0,5599999999999999;560,0;12;0,0;0,003000020980834961;1,0
instancia_4;2;0,406;406,0;9;0,0;0,0019998550415039062;1,0
instancia_5;2;0,672;672,0;24;0,0;0,004999876022338867;1,0
instancia_6;2;0,736;736,0;26;0,0;0,009999990463256836;1,0
instancia_7;2;0,9700000000000001;970,0;24;0,0;0,006999969482421875;1,0
instancia_8;2;0,45399999999999996;454,0;5;0,0;0,003000020980834961;1,0
instancia_9;2;0,576;576,0;39;0,0;0,003999948501586914;1,0
instancia_10;2;0,6200000000000001;620,0;14;0,0;0,006999969482421875;1,0
