Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,967;7736,0;16;0,0;29,222;172,0
instancia_10;2;0,9715;7772,0;20;0,0;72,865;143,0
instancia_2;2;0,956875;7655,0;19;0,0;75,716;454,0
instancia_3;2;0,913375;7307,0;12;0,0;41,123;433,0
instancia_4;2;0,946;7568,0;12;0,0;57,384;120,0
instancia_5;2;0,907125;7257,0;11;0,0;16,209;305,0
instancia_6;2;0,951;7608,0;18;0,0;105,554;456,0
instancia_7;2;0,964375;7715,0;16;0,0;16,931;330,0
instancia_8;2;0,96275;7702,0;15;0,0;66,816;342,0
instancia_9;2;0,9785;7828,0;16;0,0;107,318;491,0
