Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;1,0;1000,0;246;0,0;8,258;1,0
instancia_10;2;1,0;1000,0;117;0,0;3,264;1,0
instancia_2;2;1,0;1000,0;117;0,0;10,525;1,0
instancia_3;2;1,0;1000,0;234;0,0;10,72;1,0
instancia_4;2;1,0;1000,0;140;0,0;5,186;1,0
instancia_5;2;1,0;1000,0;143;0,0;20,459;1,0
instancia_6;2;1,0;1000,0;390;0,0;0,638;1,0
instancia_7;2;1,0;1000,0;101;0,0;9,066;1,0
instancia_8;2;1,0;1000,0;70;0,0;7,506;1,0
instancia_9;2;1,0;1000,0;127;0,0;15,027;1,0
