Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;9;0,8946667146014251;24156,0;45;0,9;300,4269998073578;155,0
instancia_2;9;0,9173333333333332;24768,0;64;2,16;300,2019999027252;1,0
instancia_3;9;0,9155925925925924;24721,0;139;3,83;302,38300013542175;1,0
instancia_4;9;0,9165185185185186;24746,0;99;3,42;300,2369999885559;1,0
instancia_5;9;0,8917777844647725;24078,0;86;1,45;300,56500005722046;54,0
instancia_6;9;0,9016666666666665;24345,0;70;7,61;300,4760000705719;1,0
instancia_7;9;0,8995555555555557;24288,0;32;2,46;300,2279999256134;1,0
instancia_8;9;0,8792592592592593;23740,0;73;3,64;300,1400001049042;1,0
instancia_9;9;0,9505925930379041;25666,0;148;3,6;300,21799993515015;1,0
instancia_10;9;0,9405925925925929;25396,0;121;2,17;300,4559998512268;100,0
