Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,667037;18010,0;9;0,0;0,217;10,0
instancia_10;2;0,580704;15679,0;7;0,0;0,117;1,0
instancia_2;2;0,647778;17490,0;7;0,0;0,028;1,0
instancia_3;2;0,649778;17544,0;3;0,0;0,203;1,0
instancia_4;2;0,761778;20568,0;11;0,0;0,033;1,0
instancia_5;2;0,745148;20119,0;5;0,0;0,065;12,0
instancia_6;2;0,532889;14388,0;3;0,0;0,02;1,0
instancia_7;2;0,541333;14616,0;6;0,0;0,018;0,0
instancia_8;2;0,429259;11590,0;3;0,0;0,032;1,0
instancia_9;2;0,533963;14417,0;3;0,0;0,037;1,0
