Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;1,0;8000,0;138;0,0;1885,852;1,0
instancia_10;2;0,97;7760,0;52;0,0;412,2;1299,0
instancia_2;2;0,99;7920,0;107;0,0;569,583;1,0
instancia_3;2;0,993;7944,0;51;0,0;4,28;1,0
instancia_4;2;0,936;7488,0;70;0,0;150,034;2461,0
instancia_5;2;0,776;6208,0;56;0,0;26,881;203,0
instancia_6;2;1,0;8000,0;167;0,0;317,166;1,0
instancia_7;9;0,9805;7844,0;132;1,53003;3600,045;35,0
instancia_8;2;1,0;8000,0;283;0,0;1626,952;1,0
instancia_9;9;0,934125;7473,0;69;1,557001;3600,975;91785,0
