Instância;Status;Objetivo;Volume;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,648736;81092,0;9;0,0;0,062;1,0
instancia_10;2;0,514784;64348,0;5;0,0;0,04;1,0
instancia_2;2;0,69152;86440,0;6;0,0;0,02;1,0
instancia_3;2;0,683688;85461,0;8;0,0;0,103;1,0
instancia_4;2;0,586704;73338,0;11;0,0;0,272;9,0
instancia_5;2;0,825984;103248,0;16;0,0;0,286;1,0
instancia_6;2;0,707728;88466,0;7;0,0;0,073;1,0
instancia_7;2;0,848512;106064,0;22;0,0;0,796;1,0
instancia_8;2;0,757872;94734,0;14;0,0;0,061;1,0
instancia_9;2;0,7428;92850,0;7;0,0;0,542;13,0
