Instância;Status;Objetivo (Ocupação);Volume Total;Nº Caixas;Gap (%);Tempo (s);Nós Explorados
instancia_1;2;0,5256296296296297;14192,0;8;0,0;0,003999948501586914;1,0
instancia_2;2;0,5508148148148148;14872,0;8;0,0;0,002000093460083008;0,0
instancia_3;2;0,29659259259259263;8008,0;7;0,0;0,0029997825622558594;0,0
instancia_4;2;0,6666666666666666;18000,0;9;0,0;0,006000041961669922;1,0
instancia_5;2;0,6733333333333333;18180,0;5;0,0;0,00599980354309082;1,0
instancia_6;2;0,0;0,0;0;0,0;0,0009999275207519531;0,0
instancia_7;2;0,0;0,0;0;0,0;0,0;0,0
instancia_8;2;0,0;0,0;0;0,0;0,0;0,0
instancia_9;2;0,0;0,0;0;0,0;0,0009999275207519531;0,0
instancia_10;2;0,14222222222222222;3840,0;4;0,0;0,006999969482421875;0,0
